,Exception Name,GeoPy Sub,Carnegie Name,MSI Classification,Research Classification
1131,University of Barcelona,None,University of Barcelona,None,F
1132,University of Barcelona,None,University of Barcelona,None,F
1133,University of Bern,None,University of Bern,None,F
1134,University of Bern,None,University of Bern,None,F
1135,University of Birmingham,None,University of Birmingham,None,F
1136,University of Birmingham,None,University of Birmingham,None,F
1137,University of Bonn,None,University of Bonn,None,F
1138,University of Bonn,None,University of Bonn,None,F
1139,University of Bristol,None,University of Bristol,None,F
1140,University of Bristol,None,University of Bristol,None,F
1141,University of British Columbia,None,University of British Columbia,None,F
1142,University of British Columbia,None,University of British Columbia,None,F
1143,University of Cagliari,None,University of Cagliari,None,F
1144,University of Cagliari,None,University of Cagliari,None,F
1145,University of California,None,University of California-Berkeley,None,R1
1146,University of California - Berkeley,None,University of California-Berkeley,None,R1
1147,University of California - Los Angeles,None,University of California-Los Angeles,None,R1
1148,University of California - Riverside,None,University of California-Riverside,HSI,R1
1149,University of California - Santa Barbara,None,University of California-Santa Barbara,HSI,R1
1150,University of California - Santa Cruz,None,University of California-Santa Cruz,HSI,R1
1151,University of California at Berkeley,None,University of California-Berkeley,None,R1
1152,University of California at Irvine,None,University of California-Irvine,None,R1
1153,University of California at Santa Barbara,None,University of California-Santa Barbara,HSI,R1
1154,University of California at Santa Cruz,None,University of California-Santa Cruz,HSI,R1
1155,University of California Berkeley,None,University of California-Berkeley,None,R1
1156,University of California Davis,None,University of California-Davis,None,R1
1157,University of California Irvine,None,University of California-Irvine,None,R1
1158,University of California Riverside,None,University of California-Riverside,HSI,R1
1159,University of California San Diego,None,University of California-San Diego,None,R1
1160,University Of California San Diego,None,University of California-San Diego,None,R1
1161,University of California Santa Barbara,None,University of California-Santa Barbara,HSI,R1
1162,UNIVERSITY OF CALIFORNIA SANTA CRUZ,None,University of California-Santa Cruz,HSI,R1
1163,University of California Santa Cruz,None,University of California-Santa Cruz,HSI,R1
1164,"University of California,  Irvine",None,University of California-Irvine,None,R1
1165,"University of California, Berkeley",None,University of California-Berkeley,None,R1
1166,"University Of California, Davis",None,University of California-Davis,None,R1
1167,"UNIVERSITY OF CALIFORNIA, DAVIS",None,University of California-Davis,None,R1
1168,"University of California, Davis",None,University of California-Davis,None,R1
1169,"University Of California, Irvine",None,University of California-Irvine,None,R1
1170,"UNIVERSITY OF CALIFORNIA, IRVINE",None,University of California-Irvine,None,R1
1171,"University of California, Irvine",None,University of California-Irvine,None,R1
1172,"University of California, Los Angeles",None,University of California-Los Angeles,None,R1
1173,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",None,University of California-Los Angeles,None,R1
1174,"University Of California, Riverside",None,University of California-Riverside,HSI,R1
1175,"University of California, Riverside",None,University of California-Riverside,HSI,R1
1176,"University Of California, San Diego",None,University of California-San Diego,None,R1
1177,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",None,University of California-San Diego,None,R1
1178,"University of California, San Diego",None,University of California-San Diego,None,R1
1179,"University Of California, Santa Barbara",None,University of California-Santa Barbara,HSI,R1
1180,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",None,University of California-Santa Barbara,HSI,R1
1181,"University of California, Santa Barbara",None,University of California-Santa Barbara,HSI,R1
1182,"University Of California, Santa Cruz",None,University of California-Santa Cruz,HSI,R1
1183,"University of California, Santa Cruz",None,University of California-Santa Cruz,HSI,R1
1184,University of Cambridge,None,University of Cambridge,None,F
1185,University of Cambridge,None,University of Cambridge,None,F
1186,University Of Central Florida,None,University of Central Florida,None,R1
1187,University of Central Florida Board of Trustees,None,University of Central Florida,None,R1
1188,"UNIVERSITY OF CENTRAL FLORIDA BOARD OF TRUSTEES, THE",University of Central Florida,University of Central Florida,None,R1
1189,University of Chicago,The University of Chicago,University of Chicago,None,R1
1190,University Of Chicago,None,University of Chicago,None,R1
1191,UNIVERSITY OF CHICAGO,None,University of Chicago,None,R1
1192,University Of Cincinnati,None,University of Cincinnati-Main Campus,None,R1
1193,UNIVERSITY OF CINCINNATI,None,University of Cincinnati-Main Campus,None,R1
1194,"University of Cincinnati, College of Applied Science",None,University of Cincinnati-Main Campus,None,R1
1195,University of Cmbridge,None,University of Cambridge,None,F
1196,University of Colorado,None,University of Colorado Boulder,None,R1
1197,University of Colorado at Boulder,None,University of Colorado Boulder,None,R1
1198,"University Of Colorado, Boulder",None,University of Colorado Boulder,None,R1
1199,"University of Colorado, Boulder",None,University of Colorado Boulder,None,R1
1200,University of Concepcion,None,University of Concepcion,None,F
1201,UNIVERSITY OF CONNECTICUT,None,University of Connecticut,None,R1
1202,"University of Connecticut, Storrs",None,University of Connecticut,None,R1
1203,University of Copenhagen,None,University of COpenhagen,None,F
1204,University of Crete,None,University of Crete,None,F
1205,University of Crete,None,University of Crete,None,F
1206,University Of Delaware,None,University of Delaware,None,R1
1207,UNIVERSITY OF DELAWARE,None,University of Delaware,None,R1
1208,University Of Denver,None,University of Denver,None,R1
1209,University of Durham,None,Durham University,None,F
1210,University of Edinburgh,None,University of Edinburgh,None,F
1211,"University of Edinburgh, Institute for Astronomy",None,University of Edinburgh,None,F
1212,University of Exeter,None,University of Exeter,None,F
1213,UNIVERSITY OF FLORIDA,None,University of Florida,None,R1
1214,"University of Florida, Gainesville",None,University of Florida,None,R1
1215,University of Geneva,None,University of Geneva,None,F
1216,"University of Geneva, Department of Astronomy",None,University of Geneva,None,F
1217,"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",University of Georgia,University of Georgia,None,R1
1218,"University Of Georgia, Athens",None,University of Georgia,None,R1
1219,University of Groningen,None,University of Groningen,None,F
1220,University of Groningen,None,University of Groningen,None,F
1221,University of Guanajuato,None,University of Guanajuato,None,F
1222,University of Guanajuato,None,University of Guanajuato,None,F
1223,University of Hawaii,None,University of Hawaii at Manoa,None,R1
1224,UNIVERSITY OF HAWAII,None,University of Hawaii at Hilo,None,R2 - 17
1225,University of Hawaii Institute for Astronomy,None,University of Hawaii at Hilo,None,R2 - 17
1226,University of Hawaii Manoa,None,University of Hawaii at Manoa,None,R1
1227,UNIVERSITY OF HAWAII SYSTEMS,"2680  Woodlawn Dr, Honolulu, HI 96822-1839",University of Hawaii at Manoa,None,R1
1228,University of Hawaii Systems,None,University of Hawaii at Manoa,None,R1
1229,"University of Hawaii, Hilo",None,University of Hawaii at Hilo,None,R2 - 17
1230,"University of Hawaii, Honolulu",None,University of Hawaii at Manoa,None,R1
1231,University of Hertfordshire,None,University of Hertfordshire,None,F
1232,University of Hertfordshire,None,University of Hertfordshire,None,F
1233,University Of Houston,None,University of Houston,HSI,R1
1234,UNIVERSITY OF HOUSTON SYSTEM,77058-1002,University of Houston,None,R1
1235,"University Of Idaho, Moscow",None,University of Idaho,None,R2
1236,UNIVERSITY OF ILLINOIS,None,University of Illinois Urbana-Champaign,None,R1
1237,University of Illinois,None,University of Illinois Urbana-Champaign,None,R1
1238,University of Illinois at Urbana - Champaign,None,University of Illinois Urbana-Champaign,None,R1
1239,University of Illinois at Urbana Champaign,None,University of Illinois Urbana-Champaign,None,R1
1240,University of Illinois at Urbana-Champaign,None,University of Illinois Urbana-Champaign,None,R1
1241,"University Of Illinois, Urbana-Champaign",None,University of Illinois Urbana-Champaign,None,R1
1242,"University of Illinois, Urbana-Champaign",None,University of Illinois Urbana-Champaign,None,R1
1243,University of Innsbruck,None,University of Innsbruck,None,F
1244,University of Innsbruck,None,University of Innsbruck,None,F
1245,University of Insubria at Lake Como,None,University of Insubria at Lake Como,None,F
1246,University of Insubria at Lake Como,None,University of Insubria at Lake Como,None,F
1247,"University of Iowa, Iowa City",None,University of Iowa,None,R1
1248,"UNIVERSITY OF IOWA, THE",52242-1403,University of Iowa,None,R1
1249,University of Jyvaskyla,None,University of Jyvaskyla,None,F
1250,University of Jyvaskyla,None,University of Jyvaskyla,None,F
1251,University of Kansas Center for Research,None,University of Kansas,None,R1
1252,"UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.",UNIVERSITY OF KANSAS,University of Kansas,None,R1
1253,"University of Kansas Center for Research, Inc.",None,University of Kansas,None,R1
1254,University of Keele,None,University of Keele,None,F
1255,University of Keele,None,University of Keele,None,F
1256,University of Kentucky Research Foundation,40506-0057,University of Kentucky,None,R1
1257,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE",40506-0057,University of Kentucky,None,R1
1258,"University Of Kentucky, Lexington",None,University of Kentucky,None,R1
1259,University of Leeds,None,University of Leeds,None,F
1260,University of Leeds,None,University of Leeds,None,F
1261,University of Leicester,None,University of Leicester,None,F
1262,University of Leicester,None,University of Leicester,None,F
1263,University of Leiden,None,University of Leiden,None,F
1264,University of Leiden,None,University of Leiden,None,F
1265,University of Lethbridge,None,University of Lethbridge,None,F
1266,University of Lethbridge,None,University of Lethbridge,None,F
1267,University of Liege,None,University of Liege,None,F
1268,University of Liege,None,University of Liege,None,F
1269,University Of Louisville,None,University of Louisville,None,R1
1270,University of Lousiana at Lafayette,None,University of Louisiana at Lafayette,None,R1
1271,University of Manchester,None,University of Manchester,None,F
1272,University of Manchester,None,University of Manchester,None,F
1273,University of Manitoba,None,University of Manitoba,None,F
1274,University of Manitoba,None,University of Manitoba,None,F
1275,University of Maryland,None,University of Maryland-College Park,None,R1
1276,University of Maryland Baltimore County,None,University of Maryland-Baltimore County,None,R1
1277,UNIVERSITY OF MARYLAND BALTIMORE COUNTY,None,University of Maryland-Baltimore County,None,R1
1278,University of Maryland College Park,None,University of Maryland-College Park,None,R1
1279,"University of Maryland, Baltimore County",None,University of Maryland-Baltimore County,None,R1
1280,"University of Maryland, College Park","University of Maryland, College Park",University of Maryland-College Park,None,R1
1281,"University of Maryland, College Park",University of Maryland,University of Maryland-College Park,None,R1
1282,"UNIVERSITY OF MARYLAND, COLLEGE PARK",None,University of Maryland-College Park,None,R1
1283,University of Massachusetts,None,University of Massachusetts-Amherst,None,R1
1284,UNIVERSITY OF MASSACHUSETTS,None,University of Massachusetts-Amherst,None,R1
1285,University of Massachusetts - Amherst,None,University of Massachusetts-Amherst,None,R1
1286,University of Massachusetts Amherst,None,University of Massachusetts-Amherst,None,R1
1287,University of Massachusetts at Dartmouth,None,University of Massachusetts-Dartmouth,None,R2
1288,UNIVERSITY OF MASSACHUSETTS DARTMOUTH,None,University of Massachusetts-Dartmouth,None,R2
1289,University of Massachusetts Lowell,None,University of Massachusetts-Lowell,None,R2
1290,"University Of Massachusetts, Amherst",None,University of Massachusetts-Amherst,None,R1
1291,"University of Massachusetts, Amherst",None,University of Massachusetts-Amherst,None,R1
1292,"University Of Massachusetts, Dartmouth",None,University of Massachusetts-Dartmouth,None,R2
1293,"University of Massachusetts, Dartmouth",None,University of Massachusetts-Dartmouth,None,R2
1294,"University Of Massachusetts, Lowell",None,University of Massachusetts-Lowell,None,R2
1295,"University of Massachusetts, Lowell",None,University of Massachusetts-Lowell,None,R2
1296,University of Melbourne,None,University of Melbourne,None,F
1297,University of Melbourne,None,University of Melbourne,None,F
1298,University Of Memphis,None,University of Memphis,None,R1
1299,UNIVERSITY OF MIAMI,None,University of Miami,None,R1
1300,"University Of Miami, Coral Gables",None,University of Miami,None,R1
1301,University of Michigan,None,University of Michigan-Ann Arbor,None,R1
1302,"University Of Michigan, Ann Arbor",None,University of Michigan-Ann Arbor,None,R1
1303,University of Milano-Bicocca,None,University of Milano-Bicocca,None,F
1304,University of Milano-Bicocca,None,University of Milano-Bicocca,None,F
1305,University Of Minnesota,None,University of Minnesota-Twin Cities,None,R1
1306,University of Minnesota,None,University of Minnesota-Twin Cities,None,R1
1307,UNIVERSITY OF MISSISSIPPI,None,University of Mississippi,None,R1
1308,University of Missouri,None,University of Missouri-Columbia,None,R1
1309,UNIVERSITY OF MISSOURI SYSTEM,65211-0001,University of Missouri-Columbia,None,R1
1310,"University Of Missouri, Columbia",None,University of Missouri-Columbia,None,R1
1311,"University Of Missouri, Kansas City",None,University of Missouri-Kansas City,None,R2
1312,"University Of Missouri, Rolla",None,Missouri University of Science and Technology,None,R2
1313,University of Montana,None,The University of Montana,None,R1
1314,University of Montreal,None,University of Montreal,None,F
1315,University of Nevada,None,University of Nevada-Reno,None,R1
1316,University of Nevada - Las Vegas,None,University of Nevada-Las Vegas,None,R1
1317,"University Of Nevada, Las Vegas",None,University of Nevada-Las Vegas,None,R1
1318,"University of Nevada, Las Vegas",None,University of Nevada-Las Vegas,None,R1
1319,University of New Hampshire,None,University of New Hampshire-Main Campus,None,R1
1320,"University of New Hampshire, Durham",None,University of New Hampshire-Main Campus,None,R1
1321,University Of New Mexico,None,University of New Mexico-Main Campus,HSI,R1
1322,University of New Mexico,None,University of New Mexico-Main Campus,HSI,R1
1323,UNIVERSITY OF NEW MEXICO,None,University of New Mexico-Main Campus,HSI,R1
1324,"UNIVERSITY OF NEW MEXICO, THE",None,University of New Mexico-Main Campus,HSI,R1
1325,University of New South Wales,None,University of New South Wales,None,F
1326,University of New South Wales,None,University of New South Wales,None,F
1327,University of New South Wales Canberra,None,University of New South Wales,None,F
1328,University of Newcastle,None,University of Newcastle,None,F
1329,University of North Carolina,None,University of North Carolina at Chapel Hill,None,R1
1330,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,None,University of North Carolina at Chapel Hill,None,R1
1331,"University Of North Carolina, Chapel Hill",None,University of North Carolina at Chapel Hill,None,R1
1332,"University of North Carolina, Chapel Hill",None,University of North Carolina at Chapel Hill,None,R1
1333,"University of North Carolina, Greensboro",None,University of North Carolina at Greensboro,None,R2
1334,"University Of North Dakota, Grand Forks",None,University of North Dakota,None,R2
1335,UNIVERSITY OF NORTH GEORGIA,None,University of North Georgia,None,R2 - 18
1336,University Of North Texas,None,University of North Texas,None,R1
1337,University Of Notre Dame,None,University of Notre Dame,None,R1
1338,UNIVERSITY OF NOTRE DAME DU LAC,None,University of Notre Dame,None,R1
1339,University of Nottingham,None,University of Nottingham,None,F
1340,University of Nottingham,None,University of Nottingham,None,F
1341,University of Nova Gorica,None,University of Nova Gorica,None,F
1342,University of Nova Gorica,None,University of Nova Gorica,None,F
1343,UNIVERSITY OF OKLAHOMA,None,University of Oklahoma-Norman Campus,None,R1
1344,University of Oklahoma,None,University of Oklahoma-Norman Campus,None,R1
1345,"University Of Oklahoma, Norman",None,University of Oklahoma-Norman Campus,None,R1
1346,UNIVERSITY OF OREGON,None,University of Oregon,None,R1
1347,"University Of Oregon, Eugene",None,University of Oregon,None,R1
1348,University of Oslo,None,University of Oslo,None,F
1349,University of Oslo,None,University of Oslo,None,F
1350,University of Oxford,None,University of Oxford,None,F
1351,University of Oxford,None,University of Oxford,None,F
1352,University of Pacific,None,University of the Pacific,None,R2 - 17
1353,University of Padova,None,University of Padova,None,F
1354,University of Padova,None,University of Padova,None,F
1355,University of Paris,None,University of Paris,None,F
1356,University Of Pennsylvania,None,University of Pennsylvania,None,R1
1357,University of Pisa,None,University of Pisa,None,F
1358,University of Pisa,None,University of Pisa,None,F
1359,University Of Pittsburgh,None,University of Pittsburgh-Pittsburgh Campus,None,R1
1360,University of Pittsburgh,None,University of Pittsburgh-Pittsburgh Campus,None,R1
1361,"UNIVERSITY OF PITTSBURGH, THE",None,University of Pittsburgh-Pittsburgh Campus,None,R1
1362,University of Porto,None,University of Porto,None,F
1363,University of Porto,None,University of Porto,None,F
1364,University of Portsmouth,None,University of Portsmouth,None,F
1365,University of Portsmouth,None,University of Portsmouth,None,F
1366,University of Potsdam,None,Freie Universitat Berlin,None,F
1367,University of Puerto Rico at Cayey,None,University of Puerto Rico-Cayey,HSI,4Y
1368,University of Reims,None,University of Reims,None,F
1369,University of Reims,None,University of Reims,None,F
1370,University Of Richmond,None,University of Richmond,None,4Y
1371,University Of Rochester,None,University of Rochester,None,R1
1372,UNIVERSITY OF ROCHESTER,None,University of Rochester,None,R1
1373,UNIVERSITY OF SAN FRANCISCO INC,94117-1080,University of San Francisco,None,R2 - 17
1374,University of Sheffield,None,University of Sheffield,None,F
1375,University of Sheffield,None,University of Sheffield,None,F
1376,University of South Carolina,None,University of South Carolina-Columbia,None,R1
1377,"University Of South Florida, Tampa",None,University of South Florida,None,R1
1378,University of Southampton,None,University of Southampton,None,F
1379,University of Southampton,None,University of Southampton,None,F
1380,University Of Southern California,None,University of Southern California,None,R1
1381,UNIVERSITY OF SOUTHERN CALIFORNIA,None,University of Southern California,None,R1
1382,University of St Andrews,None,University of St Andrews,None,F
1383,University of St Andrews,None,University of St Andrews,None,F
1384,University of St. Andrews,None,University of St. Andrews,None,F
1385,University of St. Andrews,None,University of St. Andrews,None,F
1386,University of Surrey,None,University of Surrey,None,F
1387,University of Surrey,None,University of Surrey,None,F
1388,University of Sussex,None,University of Sussex,None,F
1389,University of Sussex,None,University of Sussex,None,F
1390,University of Sydney,None,University of Sydney,None,F
1391,University of Sydney,None,University of Sydney,None,F
1392,University of Tampa,None,The University of Tampa,None,R2 - 18
1393,"UNIVERSITY OF TAMPA, INCORPORATED, THE",UNIVERSITY OF TAMPA,University of Tampa,None,R2 - 18
1394,University of Tennessee,None,The University of Tennessee-Knoxville,None,R1
1395,UNIVERSITY OF TENNESSEE,None,The University of Tennessee-Knoxville,None,R1
1396,"University of Tennessee, Knoxville",None,The University of Tennessee-Knoxville,None,R1
1397,University of Texas,None,The University of Texas at Austin,None,R1
1398,University of Texas at Arlington,None,The University of Texas at Arlington,HSI,R1
1399,UNIVERSITY OF TEXAS AT AUSTIN,None,The University of Texas at Austin,None,R1
1400,University of Texas at Austin,None,The University of Texas at Austin,None,R1
1401,UNIVERSITY OF TEXAS AT BROWNSVILLE,University of Texas Rio Grande Valley,The University of Texas Rio Grande Valley,HSI,R2
1402,UNIVERSITY OF TEXAS AT DALLAS,None,The University of Texas at Dallas,None,R1
1403,University of Texas at Dallas,None,The University of Texas at Dallas,None,R1
1404,University of Texas at San Antonio,None,The University of Texas at San Antonio,HSI,R1
1405,"UNIVERSITY OF TEXAS AT SAN ANTONIO, THE",78249-1644,The University of Texas at San Antonio,HSI,R1
1406,University of Texas Rio Grande Valley,None,The University of Texas Rio Grande Valley,HSI,R2
1407,University of Texas Rio Grande Valley (UTRGV),University of Texas Rio Grande Valley,The University of Texas Rio Grande Valley,HSI,R2
1408,University of Texas San Antonio,None,The University of Texas at San Antonio,HSI,R1
1409,University of Texas-San Antonio,None,The University of Texas at San Antonio,HSI,R1
1410,"University Of Texas, Arlington",None,The University of Texas at Arlington,HSI,R1
1411,"University Of Texas, Austin",None,The University of Texas at Austin,None,R1
1412,"University of Texas, Austin",None,The University of Texas at Austin,None,R1
1413,"University Of Texas, Brownsville",None,The University of Texas Rio Grande Valley,HSI,R2
1414,"University Of Texas, Dallas",None,The University of Texas at Dallas,None,R1
1415,"University of Texas, Dallas",None,The University of Texas at Dallas,None,R1
1416,"University Of Texas, El Paso",None,The University of Texas at El Paso,HSI,R1
1417,"University Of Texas, San Antonio","UTSA Circle, San Antonio, Bexar County, Texas, 78249, United States",The University of Texas at San Antonio,HSI,R1
1418,University of Tokyo,None,University of Tokyo,None,F
1419,University of Tokyo,None,University of Tokyo,None,F
1420,University Of Toledo,None,University of Toledo,None,R2
1421,"UNIVERSITY OF TOLEDO, THE",University of Toledo,University of Toledo,None,R2
1422,University of Torino,None,University of Torino,None,F
1423,University of Torino,None,University of Torino,None,F
1424,University of Toronto,None,University of Toronto,None,F
1425,University of Toronto,None,University of Toronto,None,F
1426,University of Trento,None,University of Trento,None,F
1427,University of Trento,None,University of Trento,None,F
1428,"UNIVERSITY OF TULSA, THE",UNIVERSITY OF TULSA,University of Tulsa,None,R2
1429,University of Turku,None,University of Turku,None,F
1430,University of Turku,None,University of Turku,None,F
1431,"University of Utah, Salt Lake City",None,University of Utah,None,R1
1432,"UNIVERSITY OF UTAH, THE",None,University of Utah,None,R1
1433,University of Victoria,None,University of Victoria,None,F
1434,University of Victoria,None,University of Victoria,None,F
1435,University of Vienna,None,University of Vienna,None,F
1436,University of Vienna,None,University of Vienna,None,F
1437,University of Virginia,None,University of Virginia-Main Campus,None,R1
1438,University of VIrginia,None,University of Virginia-Main Campus,None,R1
1439,"University of Virginia, Charlottesville",None,University of Virginia-Main Campus,None,R1
1440,University of Warsaw,None,University of Warsaw,None,F
1441,University of Warsaw,None,University of Warsaw,None,F
1442,University of Warwick,None,University of Warwick,None,F
1443,University of Warwick,None,University of Warwick,None,F
1444,UNIVERSITY OF WASHINGTON,None,University of Washington-Seattle Campus,None,R1
1445,University of Washington,None,University of Washington-Seattle Campus,None,R1
1446,"University Of Washington, Seattle",None,University of Washington-Seattle Campus,None,R1
1447,"University of Washington, Seattle",None,University of Washington-Seattle Campus,None,R1
1448,University of Waterloo,None,University of Waterloo,None,F
1449,University of Western Australia,None,The University of Western Australia,None,F
1450,University of Western Ontario,None,University of Western Ontario,None,F
1451,University of Western Ontario,None,University of Western Ontario,None,F
1452,University of Winnipeg,None,University of Winnipeg,None,F
1453,University of Wisconsin,None,University of Wisconsin-Madison,None,R1
1454,University of Wisconsin - La Crosse,None,University of Wisconsin-La Crosse,None,R2 - 18
1455,University of Wisconsin - Madison,None,University of Wisconsin-Madison,None,R1
1456,University of Wisconsin - Milwaukee,None,University of Wisconsin-Milwaukee,None,R1
1457,University of Wisconsin Milwaukee,None,University of Wisconsin-Milwaukee,None,R1
1458,UNIVERSITY OF WISCONSIN SYSTEM,None,University of Wisconsin-Madison,None,R1
1459,"University Of Wisconsin, Madison",None,University of Wisconsin-Madison,None,R1
1460,"University of Wisconsin, Madison",None,University of Wisconsin-Madison,None,R1
1461,"University Of Wisconsin, Milwaukee",None,University of Wisconsin-Milwaukee,None,R1
1462,"University of Wisconsin, Milwaukee",None,University of Wisconsin-Milwaukee,None,R1
1463,"University of Wisconsin, Whitewater",None,University of Wisconsin-Whitewater,None,R2 - 18
1464,University Of Wyoming,None,University of Wyoming,None,R2
1465,University of Zurich,None,University of Zurich,None,F
1466,University of Zurich,None,University of Zurich,None,F
1467,universityy of kentucky,40506-0055,University of Kentucky,None,R1
1468,Universtiy of California Irvine,None,University of California-Irvine,None,R1
1469,Universtiy of Maryland College Park,None,University of Maryland-College Park,None,R1
1470,UNLV,None,University of Nevada-Las Vegas,None,R1
1471,"Unversity of California, Santa Barbara",None,University of California-Santa Barbara,HSI,R1
1472,US Naval Observatory,None,United States Naval Observatory,None,G
1473,US Naval Research Laboratory,None,Naval Research Laboratory,None,G
1474,USNO/retired,None,Retired,None,None
1475,USRA,None,Universities Space Research Association,None,I
1476,USRA / NASA MSFC,None,NASA Marshall Space Flight Center,None,G
1477,USU Research Foundation,None,Utah State University,None,R1
1478,"UT-BATTELLE, LLC","Bethel Valley Road, Oak Ridge TN 37831-6372","UT-BATTELLE, LLC",None,I
1479,UTAH STATE UNIVERSITY,None,Utah State University,None,R1
1480,Utah Valley State College,None,Utah Valley University,None,R2 - 18
1481,UW-Madison,None,University of Wisconsin-Madison,None,R1
1482,UW-Milwaukee,None,University of Wisconsin-Milwaukee,None,R1
1483,"VANDERBILT UNIVERSITY, THE",None,Vanderbilt University,None,R1
1484,"Vassar College, Inc.",Vassar College,Vassar College,None,4Y - 21
1485,VILLANOVA UNIVERSITY IN THE STATE OF PENNSYLVANIA,VILLANOVA UNIVERSITY,Villanova University,None,R2
1486,"Villepique, Aleksandra",92314-3222,None,None,None
1487,Virginia Commonwealth University,23284-9069,Virginia Commonwealth University,None,R1
1488,Virginia Diodes Inc.,None,"Virginia Diodes, LLC",None,I
1489,"Virginia Diodes, Inc",None,"Virginia Diodes, LLC",None,I
1490,"Virginia Diodes, Inc.",None,"Virginia Diodes, LLC",None,I
1491,"Virginia Diodes, LLC",None,"Virginia Diodes, LLC",None,I
1492,Virginia Polytechnic Institute & State University,None,Virginia Polytechnic Institute and State University,None,R1
1493,Virginia Tech,None,Virginia Polytechnic Institute and State University,None,R1
1494,VP-62,None,None,None,None
1495,W. M. Keck Observatory,None,W. M. Keck Observatory,None,None
1496,W. M. Keck Observatory,None,W. M. Keck Observatory,None,None
1497,WASHINGTON STATE UNIVERSITY,None,Washington State University,None,R1
1498,"Washington State University, Pullman",None,Washington State University,None,R1
1499,Washington University,None,Washington University in St Louis,None,R1
1500,Washington University in Saint Louis,None,Washington University in St Louis,None,R1
1501,Washington University in St. Louis,None,Washington University in St Louis,None,R1
1502,"WASHINGTON UNIVERSITY, THE",None,Washington University in St Louis,None,R1
1503,Weizmann Institute of Science,None,Weizmann Institute of Science,None,F
1504,Weizmann Institute of Science,None,Weizmann Institute of Science,None,F
1505,West Chester University,None,West Chester University of Pennsylvania,None,R2
1506,WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,26506-6315,West Virginia University,None,R1
1507,West Virginia University Research Corporation,None,West Virginia University,None,R1
1508,"Western Kentucky University, Bowling Green",None,Western Kentucky University,None,R2 - 17
1509,WESTERN MICHIGAN UNIVERSITY,None,Western Michigan University,None,R2
1510,"Western Michigan University, Kalamazoo",None,Western Michigan University,None,R2
1511,"Western Washington University, Bellingham",None,Western Washington University,None,R2 - 18
1512,White Dwarf Research Corp,"9020 Brumm Trl,Golden, CO",White Dwarf Research Corporation,None,I
1513,White Dwarf Research Corporation,None,White Dwarf Research Corporation,None,I
1514,White Dwarf Research Corporation,None,White Dwarf Research Corporation,None,I
1515,William Marsh Rice University,Rice University,Rice University,None,R1
1516,WILLIAM MARSH RICE UNIVERSITY,None,Rice University,None,R1
1517,WinSet Group,None,"WinSet Group, LLC",None,I
1518,Winset Group LLC,None,"WinSet Group, LLC",None,I
1519,"WinSet Group, LLC","6107 Arlington Blvd,Falls Church, VA","WinSet Group, LLC",None,I
1520,WIPAC,None,University of Wisconsin-Madison,None,R1
1521,Within the Heliosphere,"419 Via El Chico, 419 Via El Chico, CA",Within the Heliosphere,None,I
1522,Xanadu Quantum Tech. Inc.,None,Xanadu Quantum Tech. Inc.,None,F
1523,Xanadu Quantum Tech. Inc.,None,Xanadu Quantum Tech. Inc.,None,F
1524,XAVIER UNIVERSITY,None,Xavier University,None,R2 - 17
1525,Xoptx LLC,None,"Xoptx, LLC",None,I
1526,"Xoptx, LL",None,"Xoptx, LLC",None,I
1527,YALE UNIVERSITY,None,Yale University,None,R1
1528,"Yonsei University, Korea",None,"Yonsei University, Korea",None,F
1529,"Yonsei University, Korea",None,"Yonsei University, Korea",None,F
1530,Zecoat Corporation,63119-3610,Zecoat Corporation,None,I
1531,ZeCoat Corporation,None,ZeCoat Corporation,None,I
1532,ZeCoat Corporation,None,ZeCoat Corporation,None,I
1533,Zentrum f_x0015_ür Astronomie,None,Zentrum f_x0015_ür Astronomie,None,F
1534,Zentrum f_x0015_ür Astronomie,None,Zentrum f_x0015_ür Astronomie,None,F
1535,Cal Poly Pomona,None,California Polytechnic State University-San Luis Obispo,None,R2 - 18
1536,Hamburg University,None,Hamburg University,None,F
1537,Hamburg University,None,Hamburg University,None,F
1538,LANL,None,Los Alamos National Lab,None,G
1539,Los Alamos National Lab,None,Los Alamos National Lab,None,G
1540,Vanderbilt,None,Vanderbilt University,None,R1
1541,Johns Hopkins university,None,Johns Hopkins University,None,R1
1542,GSFC ,None,NASA Goddard Space Flight Center,None,G
1543,UNIVERSITY OF MARYLAND BALTIMORE County,None,University of Maryland-Baltimore County,None,R1
1544,University of Milan,None,University of Milano-Bicocca,None,F
1545,Caltech ,None,California Institute of Technology,None,R1
1546,National & Kapodistrian University of Athens,None,National and Kapodistrian University of Athens,None,F
1547,Princeton ,None,Princeton University,None,R1
1548,University of Maryland - College Park,None,University of Maryland-College Park,None,R1
1549,NATIONAL AND KAPODISTRIAN UNIVERSITY OF ATHENS,None,National and Kapodistrian University of Athens,None,F
1550,"CEA, France",None,CEA,None,F
1551,Indian Institute of Science Education and Research,None,Indian Institute of Science Education and Research,None,F
