,Exception Name,GeoPy Sub,Carnegie Name,MSI Classification,Research Classification
962,Lawrence Livermore National Lab,None,Lawrence Livermore National Laboratory,None,G
963,SRON,None,Space Research Organization Netherlands,None,F
964,Academia Sinica,None,Academia Sinica,None,F
965,Academia Sinica,None,Academia Sinica,None,F
966,University College London,None,University College London,None,F
967,University College London,None,University College London,None,F
968,"Jet Propulsion Laboratory, California Institute of Technology",None,California Institute of Technology,None,R1
969,National Center for Atmospheric Research,None,National Center for Atmospheric Research,None,RC
970,National Center for Atmospheric Research,None,National Center for Atmospheric Research,None,RC
971,Institut d'Astrophysique Spatiale,None,Institut d'Astrophysique Spatiale,None,F
972,Institut d'Astrophysique Spatiale,None,Institut d'Astrophysique Spatiale,None,F
973,"National University of Ireland, Maynooth",None,"National University of Ireland, Maynooth",None,F
974,"National University of Ireland, Maynooth",None,"National University of Ireland, Maynooth",None,F
975,nasa,None,NASA,None,G
976,TNO,None,TNO,None,F
977,TNO,None,TNO,None,F
978,Ball Aerospace and Technologies Corp.,None,Ball Aerospace,None,I
979,Space and Naval Warfare Systems Center,None,Space and Naval Warfare Systems Center,None,G
980,Space and Naval Warfare Systems Center,None,Space and Naval Warfare Systems Center,None,G
981,UKZN,None,University of Toronto,None,F
982,Center for Research and Exploration in Space Science & Technology/GSFC,None,NASA Goddard Space Flight Center,None,G
983,Stanford Linear Accelerator Center,None,Stanford University,None,R1
984,Max-Planck-Institut f. Extraterrestrische Physik,None,Max Planck Institute for extraterrestrial Physics,None,F
985,University of Leiden,None,University of Leiden,None,F
986,University of Leiden,None,University of Leiden,None,F
987,Heriot-Watt University,None,Heriot-Watt University,None,F
988,Heriot-Watt University,None,Heriot-Watt University,None,F
989,Observatoire de Paris,None,Observatoire de Paris,None,F
990,Observatoire de Paris,None,Observatoire de Paris,None,F
991,CFE Services,None,CFE Services,None,I
992,CFE Services,None,CFE Services,None,I
993,SLAC Accelerator National Laboratory,None,Stanford University,None,R1
994,Brookhaven National Laboratory,None,Brookhaven National Laboratory,None,G
995,Brookhaven National Laboratory,None,Brookhaven National Laboratory,None,G
996,NASA MSFC,None,NASA Marshall Space Flight Center,None,G
997,Brookhaven Naitonal Lab.,None,Brookhaven National Laboratory,None,G
998,Selex ES Ltd,None,Leonardo Company,None,I
999,Leonardo Company,None,Leonardo Company,None,I
1000,Georgia Tech,None,Georgia Institute of Technology-Main Campus,None,R1
1001,Texas A&M University,None,Texas A & M University-College Station,HSI,R1
1002,NASA/GSFC/WFF,None,NASA Goddard Space Flight Center,None,G
1003,NASA Langley Research Center,None,NASA Langley Research Center,None,G
1004,NASA Langley Research Center,None,NASA Langley Research Center,None,G
1005,VP-62,None,None,None,None
1006,Pacific Northwest National Laboratory,None,Pacific Northwestern National Laboratory,None,G
1007,Pacific Northwestern National Laboratory,None,Pacific Northwestern National Laboratory,None,G
1008,Universite Lille 1,None,Universite Lille 1,None,F
1009,Universite Lille 1,None,Universite Lille 1,None,F
1010,University of California - Berkeley,None,University of California-Berkeley,None,R1
1011,Dublin Institute for Advanced Studies,None,Dublin Institute for Advanced Studies,None,F
1012,Dublin Institute for Advanced Studies,None,Dublin Institute for Advanced Studies,None,F
1013,WIPAC,None,University of Wisconsin-Madison,None,R1
1014,Italian National Institute of Astrophysics (INAF),None,National Institute for Astrophysics,None,F
1015,Delft University of Technology,None,Delft University of Technology,None,F
1016,Delft University of Technology,None,Delft University of Technology,None,F
1017,ASTRON,None,Space Research Organization Netherlands,None,F
1018,IRAM,None,IRAM,None,F
1019,IRAM,None,IRAM,None,F
1020,Lockheed Martin Space,None,Lockheed Martin,None,I
1021,Lockheed Martin,None,Lockheed Martin,None,I
1022,"Lunar Resources, Inc.",None,"Lunar Resources, Inc",None,I
1023,"Lunar Resources, Inc",None,"Lunar Resources, Inc",None,I
1024,Chalmers University of Technology,None,Chalmers University of Technology,None,F
1025,Chalmers University of Technology,None,Chalmers University of Technology,None,F
1026,NASA - Marshall Space Flight Center,None,NASA Marshall Space Flight Center,None,G
1027,Istrituto Nazionale di Astrofisica,None,Istrituto Nazionale di Astrofisica,None,F
1028,Istrituto Nazionale di Astrofisica,None,Istrituto Nazionale di Astrofisica,None,F
1029,U. S. Naval Research Laboratory,None,Naval Research Laboratory,None,G
1030,MIT Lincoln Laboratory,None,Massachusetts Institute of Technology,None,R1
1031,Kavli Institute for Cosmological Physics,None,University of Chicago,None,R1
1032,Universtiy of Maryland College Park,None,University of Maryland-College Park,None,R1
1033,University of California Davis,None,University of California-Davis,None,R1
1034,NASA Jet Propulsion Laboratory,None,California Institute of Technology,None,R1
1035,University Of California San Diego,None,University of California-San Diego,None,R1
1036,Instituto de Astrofísica de Canarias,None,Instituto de Astrofísica de Canarias,None,F
1037,Instituto de Astrofísica de Canarias,None,Instituto de Astrofísica de Canarias,None,F
1038,"Unversity of California, Santa Barbara",None,University of California-Santa Barbara,HSI,R1
1039,University of Texas at San Antonio,None,The University of Texas at San Antonio,HSI,R1
1040,NASA's Ames Research Center,None,Ames Research Center,None,G
1041,NRESS/SAIC,None,Science Applications International Corporation,None,I
1042,US Naval Research Laboratory,None,Naval Research Laboratory,None,G
1043,retired,None,Retired,None,None
1044,UC Riverside,None,University of California-Riverside,HSI,R1
1045,SOFIA-USRA,None,Universities Space Research Association,None,I
1046,"The University of Chicago, The Kavli Institute for Cosmological Physics,",None,University of Chicago,None,R1
1047,Teledyne Scientific Company,None,Teledyne Scientific Company,None,I
1048,Teledyne Scientific Company,None,Teledyne Scientific Company,None,I
1049,Arecibo Observatory,None,Arecibo Observatory,None,None
1050,Arecibo Observatory,None,Arecibo Observatory,None,None
1051,Washington University in Saint Louis,None,Washington University in St Louis,None,R1
1052,Boston Micromachines,None,Boston Micromachines,None,I
1053,Boston Micromachines,None,Boston Micromachines,None,I
1054,"Science Systems and Applications, Inc.",None,"Science Systems and Applications, Inc.",None,I
1055,"Science Systems and Applications, Inc.",None,"Science Systems and Applications, Inc.",None,I
1056,California State University at Northridge,None,California State University-Northridge,HSI,R2 - 18
1057,Laboratory for Atmospheric and Space Astronomy,None,Laboratory for Atmospheric and Space Astronomy,None,RC
1058,Laboratory for Atmospheric and Space Astronomy,None,Laboratory for Atmospheric and Space Astronomy,None,RC
1059,SLAC National Accelerator Laboratory,None,Stanford University,None,R1
1060,ESO,None,European Southern Observatory,None,F
1061,Burrows Consulting,None,Burrows Consulting,None,I
1062,Burrows Consulting,None,Burrows Consulting,None,I
1063,Harvard-Smithsonian Center For Astrophysics,None,Harvard University,None,R1
1064,NASA/GISS,None,NASA Goddard Institute for Space Studies,None,G
1065,NASA Goddard Institute for Space Studies,None,NASA Goddard Institute for Space Studies,None,G
1066,Perimeter Institute,None,Perimeter Institute for Theoretical Physics,None,F
1067,Los Alanos National Laboratory,None,Los Alamos National Laboratory,None,G
1068,F,None,Los Alamos National Laboratory,None,G
1069,University of Montana,None,The University of Montana,None,R1
1070,Planetary Spectrophotometry Facility,None,University of Winnipeg,None,F
1071,University of Winnipeg,None,University of Winnipeg,None,F
1072,University of Hawaii Manoa,None,University of Hawaii at Manoa,None,R1
1073,Ball Aerospace & Technologies Corp.,None,Ball Aerospace,None,I
1074,Universite de Rennes 1,None,Universite de Rennes 1,None,F
1075,Universite de Rennes 1,None,Universite de Rennes 1,None,F
1076,University of California Santa Barbara,None,University of California-Santa Barbara,HSI,R1
1077,Brookhaven National Lab,None,Brookhaven National Laboratory,None,G
1078,University of Bonn,None,University of Bonn,None,F
1079,University of Bonn,None,University of Bonn,None,F
1080,"Phase Sensitive Innovations, Inc.",None,"Phase Sensitive Innovations, Inc",None,I
1081,"Phase Sensitive Innovations, Inc",None,"Phase Sensitive Innovations, Inc",None,I
1082,INPE,None,INPE,None,F
1083,INPE,None,INPE,None,F
1084,Jun-Hui Zhao,None,None,None,None
1085,Colorado State University,None,Colorado State University-Fort Collins,None,R1
1086,Pellicori Optical Consulting,None,Pellicori Optical Consulting,None,I
1087,Pellicori Optical Consulting,None,Pellicori Optical Consulting,None,I
1088,U.S. Naval Research Laboratory,None,Naval Research Laboratory,None,G
1089,DTU Space - Technical University of Denmark,None,DTU Space - Technical University of Denmark,None,F
1090,DTU Space - Technical University of Denmark,None,DTU Space - Technical University of Denmark,None,F
1091,Max-Planck-Institut f&uuml;r extraterrestrische Physik,None,Max Planck Institute for extraterrestrial Physics,None,F
1092,Universidad de Zaragoza,None,Universidad de Zaragoza,None,F
1093,Universidad de Zaragoza,None,Universidad de Zaragoza,None,F
1094,Raman Research Institute,None,Raman Research Institute,None,F
1095,Raman Research Institute,None,Raman Research Institute,None,F
1096,Xanadu Quantum Tech. Inc.,None,Xanadu Quantum Tech. Inc.,None,F
1097,Xanadu Quantum Tech. Inc.,None,Xanadu Quantum Tech. Inc.,None,F
1098,Chalmers,None,Chalmers University of Technology,None,F
1099,Laboratory for Atmopsheric and Space Physics,None,University of Colorado Boulder,None,R1
1100,ATA Aerospace,None,ATA Aerospace,None,I
1101,ATA Aerospace,None,ATA Aerospace,None,I
1102,Ruda-Cardinal,None,Ruda-Cardinal,None,I
1103,Ruda-Cardinal,None,Ruda-Cardinal,None,I
1104,Edmund Optics,None,Edmund Optics,None,I
1105,Edmund Optics,None,Edmund Optics,None,I
1106,Space Dynamics Lab,None,Utah State University,None,R1
1107,--,None,None,None,None
1108,Laboratory for Atmospheric and Space Physics,None,University of Colorado Boulder,None,R1
1109,Leibniz-Institut f&uuml;r Astrophysik Potsdam (AIP),None,Leibniz Institute for Astrophysics Potsdam,None,F
1110,Leibniz Institute for Astrophysics Potsdam,None,Leibniz Institute for Astrophysics Potsdam,None,F
1111,U. Missouri,None,University of Missouri-Columbia,None,R1
1112,TMT International Observatory,None,TMT International Observatory,None,None
1113,TMT International Observatory,None,TMT International Observatory,None,None
1114,STFC Rutherford Appleton Laboratory,None,STFC Rutherford Appleton Laboratory,None,F
1115,STFC Rutherford Appleton Laboratory,None,STFC Rutherford Appleton Laboratory,None,F
1116,RAL Space,None,RAL Space,None,F
1117,RAL Space,None,RAL Space,None,F
1118,LBNL,None,Lawrence Berkeley National Laboratory,None,G
1119,"Instituto de Astronomia, UNAM",None,National Autonomous University of Mexico,None,F
1120,Virginia Tech,None,Virginia Polytechnic Institute and State University,None,R1
1121,The Pennylvania State University,None,The Pennsylvania State University,None,R1
1122,Laboratory of Atmospheric and Space Physics,None,University of Colorado Boulder,None,R1
1123,Raytheon Vision Systems,None,Raytheon Technologies,None,I
1124,Raytheon Technologies,None,Raytheon Technologies,None,I
1125,Center for Atmospheric Research,None,University of Massachusetts-Lowell,None,R2
1126,Riyo LLC,None,Riyo LLC,None,I
1127,Riyo LLC,None,Riyo LLC,None,I
1128,Lawarence Berkeley National Laboratory,None,Lawrence Berkeley National Laboratory,None,G
1129,NWO/SRON Leiden,None,Space Research Organization Netherlands,None,F
1130,Harris Corporation,None,Harris Corporation,None,I
1131,Harris Corporation,None,Harris Corporation,None,I
1132,Marinus Consulting LLC,None,Marinus Consulting LLC,None,I
1133,Marinus Consulting LLC,None,Marinus Consulting LLC,None,I
1134,NASA Glenn,None,NASA Glenn Research Center,None,G
1135,NASA Glenn Research Center,None,NASA Glenn Research Center,None,G
1136,DRS Daylight Solutions,None,DRS Daylight Solutions,None,I
1137,DRS Daylight Solutions,None,DRS Daylight Solutions,None,I
1138,Micro-LAM,None,Micro-LAM,None,I
1139,Micro-LAM,None,Micro-LAM,None,I
1140,Texas AM University,None,Texas A & M University-College Station,HSI,R1
1141,NASA / GSFC,None,NASA Goddard Space Flight Center,None,G
1142,Private Foundation,None,None,None,None
1143,Made In Space,None,Made In Space,None,I
1144,Made In Space,None,Made In Space,None,I
1145,Jet Propulsion Laboratory,None,California Institute of Technology,None,R1
1146,National Astronomical Research Institute of Thailand (Public Organization),None,National Astronomical Research Institute of Thailand,None,F
1147,National Astronomical Research Institute of Thailand,None,National Astronomical Research Institute of Thailand,None,F
1148,university california San Diego,None,University of California-San Diego,None,R1
1149,University of Liege,None,University of Liege,None,F
1150,University of Liege,None,University of Liege,None,F
1151,SISSA,None,SISSA,None,F
1152,SISSA,None,SISSA,None,F
1153,Leiden University,None,University of Leiden,None,F
1154,University of Groningen,None,University of Groningen,None,F
1155,University of Groningen,None,University of Groningen,None,F
1156,Lawrence Berkeley National Lab,None,Lawrence Berkeley National Laboratory,None,G
1157,The University of British Columbia,None,University of British Columbia,None,F
1158,"The Pennsylvania State University, Eberly College of Science",None,The Pennsylvania State University,None,R1
1159,NASA - GSFC,None,NASA Goddard Space Flight Center,None,G
1160,University of Portsmouth,None,University of Portsmouth,None,F
1161,University of Portsmouth,None,University of Portsmouth,None,F
1162,University of VIrginia,None,University of Virginia-Main Campus,None,R1
1163,Princeton,None,Princeton University,None,R1
1164,University of Pisa,None,University of Pisa,None,F
1165,University of Pisa,None,University of Pisa,None,F
1166,"Rutgers, the State University of New Jersey",None,Rutgers University-New Brunswick,None,R1
1167,University of Alberta,None,University of Alberta,None,F
1168,University of Alberta,None,University of Alberta,None,F
1169,National Tsing Hua University,None,National Tsing Hua University,None,F
1170,National Tsing Hua University,None,National Tsing Hua University,None,F
1171,Max Planck Institute for Astrophysics,None,Max Planck Institute for Astrophysics,None,F
1172,Max Planck Institute for Astrophysics,None,Max Planck Institute for Astrophysics,None,F
1173,"Institute for Astronomy, University of Edinburgh",None,University of Edinburgh,None,F
1174,University of Edinburgh,None,University of Edinburgh,None,F
1175,UC Irvine,None,University of California-Irvine,None,R1
1176,Iowa State Univ.,None,Iowa State University,None,R1
1177,The University of Michigan,None,University of Michigan-Ann Arbor,None,R1
1178,School of Physics & Astronomy,None,None,None,None
1179,National Research Council,None,National Research Council,None,F
1180,National Research Council,None,National Research Council,None,F
1181,Smithsonian Institution Astrophysical Observatory (SAO),None,Harvard University,None,R1
1182,"State University of New York, Stony Brook",None,Stony Brook University,None,R1
1183,"Institute of Computational Cosmology, Durham University",None,Durham University,None,F
1184,Universtiy of California Irvine,None,University of California-Irvine,None,R1
1185,COSI Science Center,None,COSI Science Center,None,RC
1186,COSI Science Center,None,COSI Science Center,None,RC
1187,Institut de Planetologie et d Astrophysique de Grenoble (IPAG),None,IPAG,None,F
1188,IPAG,None,IPAG,None,F
1189,Charles University,None,Charles University,None,F
1190,Charles University,None,Charles University,None,F
1191,Zentrum f_x0015_ür Astronomie,None,Zentrum f_x0015_ür Astronomie,None,F
1192,Zentrum f_x0015_ür Astronomie,None,Zentrum f_x0015_ür Astronomie,None,F
1193,University of Barcelona,None,University of Barcelona,None,F
1194,University of Barcelona,None,University of Barcelona,None,F
1195,Max Planck Institute for Solar System Research,None,Max Planck Institute for Solar System Research,None,F
1196,Max Planck Institute for Solar System Research,None,Max Planck Institute for Solar System Research,None,F
1197,Penn State Scranton,None,The Pennsylvania State University,None,R1
1198,Universidad de Chile-FCFM,None,Universidad de Chile,None,F
1199,Universidad de Chile,None,Universidad de Chile,None,F
1200,Weizmann Institute of Science,None,Weizmann Institute of Science,None,F
1201,Weizmann Institute of Science,None,Weizmann Institute of Science,None,F
1202,Southwest Research Insitute,None,Southwest Research Institute,None,RC
1203,Institute for Theoretical Astrophysics,None,Institute for Theoretical Astrophysics,None,F
1204,Institute for Theoretical Astrophysics,None,Institute for Theoretical Astrophysics,None,F
1205,University of Bern,None,University of Bern,None,F
1206,University of Bern,None,University of Bern,None,F
1207,CEA,None,CEA,None,F
1208,CEA,None,CEA,None,F
1209,"Space Sciences Lab, UC",None,University of California-Berkeley,None,R1
1210,UNIST,None,UNIST,None,F
1211,UNIST,None,UNIST,None,F
1212,The Ohio State University C/O Tim Linden,None,Ohio State University-Main Campus,None,R1
1213,Tsinghua University,None,National Tsing Hua University,None,F
1214,UC San Diego,None,University of California-San Diego,None,R1
1215,National Astronomy and Ionosphere Center,None,Arecibo Observatory,None,None
1216,University Nevada Las Vegas,None,University of Nevada-Las Vegas,None,R1
1217,The University of North Carolina at Chapel Hill,None,University of North Carolina at Chapel Hill,None,R1
1218,Universidade de Sao Paulo,None,Universidade de Sao Paulo,None,F
1219,Universidade de Sao Paulo,None,Universidade de Sao Paulo,None,F
1220,MPA,None,MOA,None,F
1221,MPA,None,MOA,None,F
1222,Laboratoire d'Annecy-le-Vieux de Physique Théorique,None,Laboratoire d'Annecy-le-Vieux de Physique Théorique,None,F
1223,Laboratoire d'Annecy-le-Vieux de Physique Théorique,None,Laboratoire d'Annecy-le-Vieux de Physique Théorique,None,F
1224,Observatories of the Carnegie Institution for Science,None,Carnegie Institution for Science,None,RC
1225,UW-Milwaukee,None,University of Wisconsin-Milwaukee,None,R1
1226,The Johns Hopkins University,None,Johns Hopkins University,None,R1
1227,University of Milano-Bicocca,None,University of Milano-Bicocca,None,F
1228,University of Milano-Bicocca,None,University of Milano-Bicocca,None,F
1229,University of Trento,None,University of Trento,None,F
1230,University of Trento,None,University of Trento,None,F
1231,"University of Arizona, Tucson",None,University of Arizona,None,R1
1232,Research School of Astronomy & Astrophysics,None,Research School of Astronomy & Astrophysics,None,F
1233,Research School of Astronomy & Astrophysics,None,Research School of Astronomy & Astrophysics,None,F
1234,Centre de Recherche Astrophysique de Lyon,None,Centre de Recherche Astrophysique de Lyon,None,F
1235,Centre de Recherche Astrophysique de Lyon,None,Centre de Recherche Astrophysique de Lyon,None,F
1236,Universita` di Milano Bicocca,None,University of Milano-Bicocca,None,F
1237,The Hebrew University of Jerusalem,None,The Hebrew University of Jerusalem,None,F
1238,The Hebrew University of Jerusalem,None,The Hebrew University of Jerusalem,None,F
1239,University of Leicester,None,University of Leicester,None,F
1240,University of Leicester,None,University of Leicester,None,F
1241,University of Leeds,None,University of Leeds,None,F
1242,University of Leeds,None,University of Leeds,None,F
1243,Perimeter Institute/ University of Waterloo,None,University of Waterloo,None,F
1244,University of Waterloo,None,University of Waterloo,None,F
1245,Oakland University,None,Oakland University,None,R2
1246,University of Zurich,None,University of Zurich,None,F
1247,University of Zurich,None,University of Zurich,None,F
1248,University of Warwick,None,University of Warwick,None,F
1249,University of Warwick,None,University of Warwick,None,F
1250,University of Oslo,None,University of Oslo,None,F
1251,University of Oslo,None,University of Oslo,None,F
1252,Center for Astrophysics | Harvard & Smithsonian,None,Harvard University,None,R1
1253,University of Massachusetts at Dartmouth,None,University of Massachusetts-Dartmouth,None,R2
1254,California State University Fullerton,None,California State University-Fullerton,None,R2
1255,Carnegie Mellon,None,Carnegie Mellon University,None,R1
1256,Kent State University,None,Kent State University at Kent,None,R1
1257,"University of Tennessee, Knoxville",None,The University of Tennessee-Knoxville,None,R1
1258,Swansea University,None,Swansea University,None,F
1259,Swansea University,None,Swansea University,None,F
1260,Universiteit Gent,None,Universiteit Gent,None,F
1261,Universiteit Gent,None,Universiteit Gent,None,F
1262,University of Insubria at Lake Como,None,University of Insubria at Lake Como,None,F
1263,University of Insubria at Lake Como,None,University of Insubria at Lake Como,None,F
1264,University of Surrey,None,University of Surrey,None,F
1265,University of Surrey,None,University of Surrey,None,F
1266,Universidade Federal de Viçosa,None,Universidade Federal de Viçosa,None,F
1267,Universidade Federal de Viçosa,None,Universidade Federal de Viçosa,None,F
1268,Mount Allison University,None,Mount Allison University,None,F
1269,Mount Allison University,None,Mount Allison University,None,F
1270,DARK,None,DARK,None,F
1271,DARK,None,DARK,None,F
1272,Arizona State University (School of Earth and Space Exploration),None,Arizona State University Campus Immersion,None,R1
1273,McDonald Observatory,None,McDonald Observatory,None,None
1274,McDonald Observatory,None,McDonald Observatory,None,None
1275,Lawrance Livermore National Laboratory,None,Lawrence Livermore National Laboratory,None,G
1276,Kenneth J Johnston,None,None,None,None
1277,National Institute of Standard and Technology,None,National Institute of Standards and Technology,None,G
1278,Nagoya University,None,Nagoya University,None,F
1279,Nagoya University,None,Nagoya University,None,F
1280,DESY,None,DESY,None,F
1281,DESY,None,DESY,None,F
1282,"Conceptual Analytics, LLC",None,"Conceptual Analytics, LLC",None,I
1283,"Conceptual Analytics, LLC",None,"Conceptual Analytics, LLC",None,I
1284,SLAC,None,Stanford University,None,R1
1285,Symetrica Security Ltd,None,Symetrica Security Ltd,None,F
1286,Symetrica Security Ltd,None,Symetrica Security Ltd,None,F
1287,U.S. Naval Observatory,None,United States Naval Observatory,None,G
1288,Institut Astrophysique de Paris,None,Institut Astrophysique de Paris,None,F
1289,Institut Astrophysique de Paris,None,Institut Astrophysique de Paris,None,F
1290,IPAC/Caltech,None,California Institute of Technology,None,R1
1291,DFRL,None,United States Air Force Academy,None,4Y
1292,Ms,None,None,None,None
1293,Centro de Astrobiologia,None,Centro de Astrobiologia,None,F
1294,Centro de Astrobiologia,None,Centro de Astrobiologia,None,F
1295,"LESIA, Observatoire de Paris",None,Observatoire de Paris,None,F
1296,University of Hertfordshire,None,University of Hertfordshire,None,F
1297,University of Hertfordshire,None,University of Hertfordshire,None,F
1298,Universidad Nacional Autónoma de México,None,National Autonomous University of Mexico,None,F
1299,Keele University,None,Keele University,None,F
1300,Keele University,None,Keele University,None,F
1301,Bishop's University,None,Bishop's University,None,F
1302,Bishop's University,None,Bishop's University,None,F
1303,Carnegie Institution of Washington,None,Carnegie Institution for Science,None,RC
1304,Harvard University Dept of Astronomy,None,Harvard University,None,R1
1305,Lund Observatory,None,Lund Observatory,None,F
1306,Lund Observatory,None,Lund Observatory,None,F
1307,University of St Andrews,None,University of St Andrews,None,F
1308,University of St Andrews,None,University of St Andrews,None,F
1309,Observatoire de la Cote d'Azur,None,Observatoire de la Cote d'Azur,None,F
1310,Observatoire de la Cote d'Azur,None,Observatoire de la Cote d'Azur,None,F
1311,LISA,None,University of Paris,None,F
1312,University of Puerto Rico at Cayey,None,University of Puerto Rico-Cayey,HSI,4Y
1313,Swinburne University,None,Swinburne University,None,F
1314,Swinburne University,None,Swinburne University,None,F
1315,Technical University of Denmark,None,Technical University of Denmark,None,F
1316,Technical University of Denmark,None,Technical University of Denmark,None,F
1317,"Queen Mary, University of London",None,Queen Mary University of London,None,F
1318,Monash University,None,Monash University,None,F
1319,Monash University,None,Monash University,None,F
1320,Monash Centre for Astrophysics,None,Monash University,None,F
1321,Laboratoire d'Astrophysique de Bordeaux,None,Laboratoire d'Astrophysique de Bordeaux,None,F
1322,Laboratoire d'Astrophysique de Bordeaux,None,Laboratoire d'Astrophysique de Bordeaux,None,F
1323,U. California Davis,None,University of California-Davis,None,R1
1324,University of Tokyo,None,University of Tokyo,None,F
1325,University of Tokyo,None,University of Tokyo,None,F
1326,Univ. of Toronto,None,University of Toronto,None,F
1327,University of Cmbridge,None,University of Cambridge,None,F
1328,Embry Riddle Aeronautical University,None,Embry-Riddle Aeronautical University-Daytona Beach,None,R2 - 18
1329,Boston Univestiy,None,Boston University,None,R1
1330,University of Lousiana at Lafayette,None,University of Louisiana at Lafayette,None,R1
1331,Univeristy of Chicago,None,University of Chicago,None,R1
1332,University of California - Riverside,None,University of California-Riverside,HSI,R1
1333,University of New South Wales,None,University of New South Wales,None,F
1334,University of New South Wales,None,University of New South Wales,None,F
1335,West Chester University,None,West Chester University of Pennsylvania,None,R2
1336,ALMA SCO,None,ALMA SCO,None,F
1337,ALMA SCO,None,ALMA SCO,None,F
1338,Green Bank Observatory,None,Green Bank Observatory,None,None
1339,Green Bank Observatory,None,Green Bank Observatory,None,None
1340,Indiana University Bloomington,None,Indiana University-Bloomington,None,R1
1341,Hannah Diamond-Lowe,None,None,None,None
1342,Leiden Observatory,None,Leiden Observatory,None,F
1343,Leiden Observatory,None,Leiden Observatory,None,F
1344,Universite de Montreal,None,University of Montreal,None,F
1345,University of Montreal,None,University of Montreal,None,F
1346,LOS ALAMOS NATIONAL LABORATORY,None,Los Alamos National Laboratory,None,G
1347,Jet Propulsion Laboratory / California Institute of Technology,None,California Institute of Technology,None,R1
1348,University of Bristol,None,University of Bristol,None,F
1349,University of Bristol,None,University of Bristol,None,F
1350,University of California at Berkeley,None,University of California-Berkeley,None,R1
1351,MIT Kavli Institute for Astrophysics and Space research,None,Massachusetts Institute of Technology,None,R1
1352,Oxford University,None,University of Oxford,None,F
1353,CfA | Harvard &amp; Smithsonian,None,Harvard University,None,R1
1354,Universite Paul Sabatier,None,Universite Paul Sabatier,None,F
1355,Universite Paul Sabatier,None,Universite Paul Sabatier,None,F
1356,University of Warsaw,None,University of Warsaw,None,F
1357,University of Warsaw,None,University of Warsaw,None,F
1358,Institute for Astronomy,None,None,None,None
1359,Ludwig Maximilan University,None,Ludwig Maximilan University,None,F
1360,Ludwig Maximilan University,None,Ludwig Maximilan University,None,F
1361,Konkoly Observatory,None,Konkoly Observatory,None,F
1362,Konkoly Observatory,None,Konkoly Observatory,None,F
1363,Freie Universität Berlin,None,Freie Universität Berlin,None,F
1364,Freie Universität Berlin,None,Freie Universität Berlin,None,F
1365,Office-104,None,None,None,None
1366,Stephen F. Austin State University,None,Stephen F Austin State University,None,R2 - 18
1367,Caltech/IPAC,None,California Institute of Technology,None,R1
1368,Michigan State University,None,Michigan State University,None,R1
1369,Ludwig-Maximilians-Universit&auml;t M&uuml;nchen,None,Ludwig Maximilan University,None,F
1370,Universit&agrave; degli Studi di Milano,None,Universit&agrave; degli Studi di Milano,None,F
1371,Universit&agrave; degli Studi di Milano,None,Universit&agrave; degli Studi di Milano,None,F
1372,"Institute of Astronomy, University of Cambridge",None,University of Cambridge,None,F
1373,Department of EAPS,None,Massachusetts Institute of Technology,None,R1
1374,NASA JPL,None,California Institute of Technology,None,R1
1375,The Ohio State University,None,Ohio State University-Main Campus,None,R1
1376,Universidad Nacional de General San Mart&iacute;n,None,Universidad Nacional de General San Mart&iacute;n,None,F
1377,Universidad Nacional de General San Mart&iacute;n,None,Universidad Nacional de General San Mart&iacute;n,None,F
1378,Cristilyn Gardner-Watkins,None,None,None,None
1379,University of Reims,None,University of Reims,None,F
1380,University of Reims,None,University of Reims,None,F
1381,"Centro de Astrobiologia, ESAC",None,"Centro de Astrobiologia, ESAC",None,F
1382,"Centro de Astrobiologia, ESAC",None,"Centro de Astrobiologia, ESAC",None,F
1383,Instituto de Astronom&iacute;a Te&oacute;rica y Experimental,None,Instituto de Astronom&iacute;a Te&oacute;rica y Experimental,None,F
1384,Instituto de Astronom&iacute;a Te&oacute;rica y Experimental,None,Instituto de Astronom&iacute;a Te&oacute;rica y Experimental,None,F
